Date,Open,High,Low,Close,Adj Close,Volume
2019-06-24,50.009998,50.540001,49.459999,49.799999,48.847523,1295300
2019-06-25,49.970001,50.130001,48.980000,49.500000,48.553261,1529700
2019-06-26,50.099998,50.099998,48.590000,49.000000,48.062824,2093100
2019-06-27,49.000000,49.650002,48.220001,49.439999,48.494408,1213400
2019-06-28,49.700001,50.880001,49.099998,50.880001,49.906868,11688900
2019-07-01,51.799999,51.799999,49.470001,50.049999,49.092743,1519300
2019-07-02,50.439999,50.630001,49.900002,50.090000,49.131977,1339200
2019-07-03,50.099998,51.000000,49.110001,51.000000,50.024570,2031900
2019-07-04,51.000000,53.459999,51.000000,52.759998,51.750908,1337500
2019-07-05,53.040001,56.880001,52.500000,56.110001,55.036839,2516600
2019-07-08,55.860001,57.910000,55.680000,56.740002,55.654789,2646100
2019-07-10,57.000000,57.400002,55.610001,56.320000,55.242821,2527400
2019-07-11,56.330002,59.169998,56.330002,58.209999,57.096672,3857100
2019-07-12,57.990002,58.549999,57.200001,57.990002,56.880882,1446800
2019-07-15,58.000000,58.480000,57.310001,57.599998,56.498337,1824800
2019-07-16,57.349998,58.759998,57.020000,58.500000,57.381126,1808200
2019-07-17,59.000000,59.000000,58.130001,58.490002,57.371319,1694100
2019-07-18,58.500000,58.750000,56.869999,57.950001,56.841648,2058800
2019-07-19,57.689999,58.139999,56.560001,57.220001,56.125607,1808300
2019-07-22,56.889999,57.880001,56.349998,56.349998,55.272243,1932200
2019-07-23,56.400002,56.980000,55.259998,55.990002,54.919132,1215300
2019-07-24,56.000000,56.490002,55.400002,55.650002,54.585636,745400
2019-07-25,55.650002,55.980000,54.380001,54.900002,53.849979,1156100
2019-07-26,55.099998,55.250000,54.230000,55.119999,54.065769,1847200
2019-07-29,55.250000,56.290001,54.580002,56.290001,55.213398,1288600
2019-07-30,56.330002,59.889999,56.330002,59.340000,58.205063,2469500
2019-07-31,59.689999,61.930000,58.750000,59.759998,58.617027,3163800
2019-08-01,59.799999,64.349998,59.799999,61.330002,60.157001,3795500
2019-08-02,62.970001,63.349998,60.599998,61.900002,60.716099,1878800
2019-08-05,61.590000,61.590000,59.400002,59.500000,58.362000,1629000
2019-08-06,60.200001,63.770000,60.200001,62.619999,61.422325,2651900
2019-08-07,63.099998,64.099998,61.500000,63.419998,62.207024,2787500
2019-08-08,64.190002,65.559998,63.090000,64.739998,63.501778,1434700
2019-08-09,65.000000,65.570000,62.889999,64.250000,63.724945,944100
2019-08-12,64.000000,64.150002,61.320000,62.500000,61.989246,2432700
2019-08-13,66.000000,66.949997,63.730000,64.059998,63.536495,3258900
2019-08-14,64.000000,64.790001,61.980000,62.369999,61.860310,2382100
2019-08-15,62.410000,64.410004,61.090000,62.000000,61.493332,2463300
2019-08-16,62.389999,63.950001,60.490002,61.450001,60.947830,2335800
